region,year,quarter,gdp
Switzerland,2013,3,176364.43727588444
Switzerland,2013,4,176786.58042389934
Switzerland,2014,1,174828.9628088966
Switzerland,2014,2,177408.28812864717
Switzerland,2014,3,179324.2613001801
Switzerland,2014,4,180468.93554239604
Switzerland,2015,1,176841.81410681715
Switzerland,2015,2,179051.05183289008
Switzerland,2015,3,180223.12373528353
Switzerland,2015,4,180889.544421441
Switzerland,2016,1,177544.72847633113
Switzerland,2016,2,182429.40251405723
Switzerland,2016,3,182521.3490616129
Switzerland,2016,4,182451.32064219922
Switzerland,2017,1,180073.97087327723
Switzerland,2017,2,182771.21572243172
Switzerland,2017,3,184620.11942185013
Switzerland,2017,4,186289.62324242626
Switzerland,2018,1,184649.5993042011
Switzerland,2018,2,190872.04629307424
Switzerland,2018,3,189877.511228631
Switzerland,2018,4,190277.9554297853
Switzerland,2019,1,188568.1222534279
Switzerland,2019,2,192279.62848235347
Switzerland,2019,3,192510.2071904073
Switzerland,2019,4,194062.339434783
Switzerland,2020,1,186608.53200689238
Switzerland,2020,2,173601.32845166317
Turkey,2011,1,34733.39072915456
Turkey,2011,2,40181.36923527664
Turkey,2011,3,45618.83940672704
Turkey,2011,4,46096.75514667664
Turkey,2012,1,39819.92284800864
Turkey,2012,2,45666.62505051056
Turkey,2012,3,50732.626777359364
Turkey,2012,4,51350.95806378528
Turkey,2013,1,46096.826309213924
Turkey,2013,2,52759.1342119048
Turkey,2013,3,58683.30869665888
Turkey,2013,4,58726.931332011525
Turkey,2014,1,53852.99729328144
Turkey,2014,2,58133.198562638725
Turkey,2014,3,65392.21620084528
Turkey,2014,4,66341.16863547408
Turkey,2015,1,59358.166758530875
Turkey,2015,2,67146.43204691168
Turkey,2015,3,75255.01177601264
Turkey,2015,4,77071.96925911425
Turkey,2016,1,67360.28733186095
Turkey,2016,2,75381.83527786848
Turkey,2016,3,79522.20216147056
Turkey,2016,4,89256.76284445936
Turkey,2017,1,77620.96451338367
Turkey,2017,2,87799.43710392513
Turkey,2017,3,99617.12688028847
Turkey,2017,4,106633.05329114656
Turkey,2018,1,94474.72030924672
Turkey,2018,2,106533.79341206385
Turkey,2018,3,122940.52986957968
Turkey,2018,4,121803.09159454193
Turkey,2019,1,109751.63288321375
Turkey,2019,2,121980.90305435887
Turkey,2019,3,137350.8606458195
Turkey,2019,4,143309.5489611544
Turkey,2020,1,127333.5119001029
Turkey,2020,2,123543.22911864976
Argentina,2011,1,5975.697581595559
Argentina,2011,2,7077.606928007699
