region,year,household_savings,gdp,household_debt
Spain,2009,6.945862657217799,32120.080314,145.9195
Spain,2010,5.064689320625019,31713.696894999997,145.9475
Spain,2011,5.90750549806244,31872.363088,140.2461
Spain,2012,2.22401715488304,31724.631513,141.8113
Spain,2013,3.98179677103312,32452.659676,134.1725
Spain,2014,2.2761418988104904,33544.352014,128.3346
Spain,2015,3.1700230622557997,34938.581463999995,118.9835
Spain,2016,2.97293333014033,37309.865924,114.3275
Spain,2017,1.3054423748544801,39626.471502,110.6663
Spain,2018,1.66625273440843,40611.378989,106.8852
Sweden,2000,0.34026313566370503,29629.406145999998,109.7531
Sweden,2001,4.7803541332384905,29940.270188,120.6948
Sweden,2002,5.1252474154526695,30926.361001999998,122.9658
Sweden,2003,4.62141859601598,31780.217352,129.078
Sweden,2004,3.2889346453574597,33828.031758,138.8422
Sweden,2005,2.8333708438149,34244.359285000006,147.8475
Sweden,2006,4.98193258861491,37684.673883999996,153.9934
Sweden,2007,7.60777573873359,40862.611933,157.4587
Sweden,2008,9.360110058740739,42158.465614,157.9275
Sweden,2009,8.728026018732981,40318.292638,164.0185
Sweden,2010,9.692208706185891,42252.266076,169.31599999999997
Sweden,2011,10.6163134481661,44608.643898,168.38099999999997
Sweden,2012,13.069606192500698,45432.306926,166.3069
Sweden,2013,13.302558341910999,46312.293685000004,168.6589
Sweden,2014,13.714739439431801,47184.719402999996,172.1901
Sweden,2015,11.868275832014401,49116.236551999995,177.6424
Sweden,2016,13.2990600175578,50425.08065,183.046
Sweden,2017,12.161718125266098,52739.003235000004,188.05
Sweden,2018,13.3150173220279,53746.798974,189.1954
Sweden,2019,15.0690955148709,55855.530924,187.9964
United Kingdom,2000,4.97339454327299,26416.355037,107.4315
United Kingdom,2001,4.9692412592813,27760.215823000002,114.9903
United Kingdom,2002,5.048238427369269,29070.805163999998,126.0851
United Kingdom,2003,3.6827765474949596,30267.427383,137.8336
United Kingdom,2004,3.68489728548168,31984.97095,147.5268
United Kingdom,2005,3.5037964542278797,32661.847992000003,152.1431
United Kingdom,2006,3.43133997388898,34772.478459,162.3041
United Kingdom,2007,4.95597784182788,35599.400670999996,165.8046
United Kingdom,2008,3.7892247835630397,36650.101264,164.7201
United Kingdom,2009,6.81829403834813,35038.59208,159.0804
United Kingdom,2010,7.2807793550897895,36371.618272,155.8708
United Kingdom,2011,4.8981592904577305,37146.173273,155.0538
United Kingdom,2012,4.34720907412183,38309.028313,149.5784
United Kingdom,2013,3.45543685192286,39984.885036,145.3755
United Kingdom,2014,4.095814603935669,41269.351632,144.7749
United Kingdom,2015,4.72826870405074,42522.183841000005,141.4561
United Kingdom,2016,1.7387548618118402,44138.043207999996,145.1202
United Kingdom,2017,-0.33298693752584,45987.961004000004,145.5385
United Kingdom,2018,0.36617516432758895,46973.254997000004,142.1571
United States,2000,5.03182012719838,36304.602016000004,104.0255
United States,2001,5.25151127840679,37099.910597,107.6555
United States,2002,6.0603243458405105,37979.607925,112.7325
United States,2003,5.7538693911770995,39426.087136,120.8321
United States,2004,5.345121261311981,41647.843907,127.5731
United States,2005,3.2806533680427004,44043.734142,135.536
United States,2006,3.99770171052199,46230.846201,140.5767
United States,2007,3.8784478480682796,47902.060352,143.6116
United States,2008,5.17932301637567,48311.223701999996,136.8505
United States,2009,6.34236647745621,47028.160396,135.8485
United States,2010,6.78029191856323,48395.803473,128.6973
United States,2011,7.39578927660217,49810.699509,121.4283
United States,2012,9.14273850027293,51540.968322,114.7027
United States,2013,6.6126859314405,53045.945117,116.4817
United States,2014,7.5878762829039,54993.169489,111.5192
United States,2015,7.86594345226045,56812.535433000005,108.3298
United States,2016,6.99491901711465,57977.387517999996,108.3845
United States,2017,7.187550476738889,60056.482591,107.2964
United States,2018,7.95836328868044,62949.281692,104.3897
Chile,2003,15.7047073618006,10793.770949,36.573859999999996
Chile,2004,11.7743359853717,11757.511889,42.8156
Chile,2005,12.1014146278229,12667.853587,45.34698
Chile,2006,12.2154169115761,15685.218973,48.98272
Chile,2007,9.343173806708831,16872.268785,56.7695
Chile,2008,9.88497691578036,16447.33384,57.894369999999995
Chile,2009,11.860367199949401,16119.89398,58.60494
Chile,2010,7.8533699245364295,18129.087986000002,59.09672
Chile,2011,9.30475390219902,20302.78871,58.31593
Chile,2012,10.582823077274199,21446.537619,58.09121999999999
Chile,2013,10.665255264735698,22352.530725999997,59.8362
Chile,2014,10.5899481772854,22687.933017,62.8066
Chile,2015,9.589622866152471,22593.272962,65.92574
